,Date,Price
0,01/12/1914,55
1,01/01/1915,56.55
2,01/02/1915,56
3,01/03/1915,58.3
4,01/04/1915,66.45
5,01/05/1915,65.95
6,01/06/1915,68.4
7,01/07/1915,71.85
8,01/08/1915,79.25
9,01/09/1915,85.5
10,01/10/1915,92.35
11,01/11/1915,94.35
12,01/12/1915,97
13,01/01/1916,94.7
14,01/02/1916,93.55
15,01/03/1916,93.3
16,01/04/1916,89.75
17,01/05/1916,90.15
18,01/06/1916,90.65
19,01/07/1916,88.45
20,01/08/1916,91
21,01/09/1916,97.45
22,01/10/1916,102.1
23,01/11/1916,107.9
24,01/12/1916,98.5
25,01/01/1917,97.15
26,01/02/1917,90.95
27,01/03/1917,94.65
28,01/04/1917,93.9
29,01/05/1917,93.35
30,01/06/1917,96.95
31,01/07/1917,92.9
32,01/08/1917,88.65
33,01/09/1917,83.6
34,01/10/1917,79.05
35,01/11/1917,71.4
36,01/12/1917,70.2
37,01/01/1918,76.6
38,01/02/1918,79.95
39,01/03/1918,78.05
40,01/04/1918,77.65
41,01/05/1918,81.05
42,01/06/1918,80.45
43,01/07/1918,81.85
44,01/08/1918,81.95
45,01/09/1918,82.5
46,01/10/1918,86.25
47,01/11/1918,84
48,01/12/1918,82.5
49,01/01/1919,81.65
50,01/02/1919,82.45
51,01/03/1919,86.55
52,01/04/1919,91.15
53,01/05/1919,99.4
54,01/06/1919,103.6
55,01/07/1919,109.7
56,01/08/1919,103.25
57,01/09/1919,108.2
58,01/10/1919,113.9
59,01/11/1919,111.6
60,01/12/1919,105.8
61,01/01/1920,105.9
62,01/02/1920,96.5
63,01/03/1920,97.95
64,01/04/1920,99.45
65,01/05/1920,91.1
66,01/06/1920,91.7
67,01/07/1920,90.7
68,01/08/1920,85.25
69,01/09/1920,86.5
70,01/10/1920,84.85
71,01/11/1920,79.3
72,01/12/1920,72.2
73,01/01/1921,74.75
74,01/02/1921,75.7
75,01/03/1921,75.05
76,01/04/1921,77
77,01/05/1921,76.7
78,01/06/1921,69.2
79,01/07/1921,68.6
80,01/08/1921,66.95
81,01/09/1921,69.35
82,01/10/1921,71.7
83,01/11/1921,75.7
84,01/12/1921,79.8
85,01/01/1922,80.6
86,01/02/1922,83.75
87,01/03/1922,87.2
88,01/04/1922,91.3
89,01/05/1922,93.95
90,01/06/1922,93.55
91,01/07/1922,95
92,01/08/1922,98.5
93,01/09/1922,99.2
94,01/10/1922,99.75
95,01/11/1922,95.75
96,01/12/1922,97
97,01/01/1923,98.2
98,01/02/1923,100.8
99,01/03/1923,103.9
100,01/04/1923,100.55
101,01/05/1923,95.5
102,01/06/1923,92.55
103,01/07/1923,89.3
104,01/08/1923,90.45
105,01/09/1923,90.75
106,01/10/1923,88.15
107,01/11/1923,90.65
108,01/12/1923,94.1
109,01/01/1924,97.8
110,01/02/1924,98.8
111,01/03/1924,95.6
112,01/04/1924,91.95
113,01/05/1924,90.4
114,01/06/1924,93.3
115,01/07/1924,99.25
116,01/08/1924,103.55
117,01/09/1924,102.9
118,01/10/1924,101.65
119,01/11/1924,107.65
120,01/12/1924,115.45
121,01/01/1925,121.55
122,01/02/1925,120.45
123,01/03/1925,120.35
124,01/04/1925,119.7
125,01/05/1925,125.55
126,01/06/1925,128.9
127,01/07/1925,133.9
128,01/08/1925,138.85
129,01/09/1925,142.45
130,01/10/1925,150.65
131,01/11/1925,153.8
132,01/12/1925,154.55
133,01/01/1926,156.1
134,01/02/1926,158.4
135,01/03/1926,144.25
136,01/04/1926,140.55
137,01/05/1926,140.3
138,01/06/1926,148.15
139,01/07/1926,156.8
140,01/08/1926,163.5
141,01/09/1926,161.2
142,01/10/1926,152.7
143,01/11/1926,153.95
144,01/12/1926,159.3
145,01/01/1927,154.65
146,01/02/1927,158.15
147,01/03/1927,160.1
148,01/04/1927,164.05
149,01/05/1927,168.8
150,01/06/1927,168.85
151,01/07/1927,175.35
152,01/08/1927,183.85
153,01/09/1927,195.3
154,01/10/1927,189.8
155,01/11/1927,189.95
156,01/12/1927,198
157,01/01/1928,198.95
158,01/02/1928,195.35
159,01/03/1928,204.5
160,01/04/1928,212.45
161,01/05/1928,216.3
162,01/06/1928,211.5
163,01/07/1928,210.85
164,01/08/1928,227.25
165,01/09/1928,239.3
166,01/10/1928,247.45
167,01/11/1928,274.9
168,01/12/1928,278.65
169,01/01/1929,307.25
170,01/02/1929,309
171,01/03/1929,308.85
172,01/04/1929,309.2
173,01/05/1929,310.25
174,01/06/1929,316.45
175,01/07/1929,341.45
176,01/08/1929,359.15
177,01/09/1929,362.35
178,01/10/1929,291.5
179,01/11/1929,228.2
180,01/12/1929,247.2
181,01/01/1930,255.65
182,01/02/1930,267.4
183,01/03/1930,278.25
184,01/04/1930,285.5
185,01/05/1930,266.7
186,01/06/1930,243.15
187,01/07/1930,229.8
188,01/08/1930,228.8
189,01/09/1930,225
190,01/10/1930,198.75
191,01/11/1930,180.95
192,01/12/1930,172.15
193,01/01/1931,167.25
194,01/02/1931,181.55
195,01/03/1931,180.05
196,01/04/1931,158
197,01/05/1931,141.45
198,01/06/1931,139.3
199,01/07/1931,145.35
200,01/08/1931,139.8
201,01/09/1931,118.35
202,01/10/1931,98.1
203,01/11/1931,103.4
204,01/12/1931,82.8
205,01/01/1932,78.55
206,01/02/1932,78.9
207,01/03/1932,81.05
208,01/04/1932,64.05
209,01/05/1932,51.85
210,01/06/1932,46.85
211,01/07/1932,47.75
212,01/08/1932,64.4
213,01/09/1932,71
214,01/10/1932,65.3
215,01/11/1932,62.2
216,01/12/1932,58.85
217,01/01/1933,61.85
218,01/02/1933,55.15
219,01/03/1933,57.75
220,01/04/1933,66.7
221,01/05/1933,83.3
222,01/06/1933,93.8
223,01/07/1933,98.55
224,01/08/1933,98.85
225,01/09/1933,99.45
226,01/10/1933,91.65
227,01/11/1933,95.45
228,01/12/1933,99.05
229,01/01/1934,102.85
230,01/02/1934,106.9
231,01/03/1934,102.3
232,01/04/1934,103.55
233,01/05/1934,96.2
234,01/06/1934,95.9
235,01/07/1934,92.25
236,01/08/1934,91.6
237,01/09/1934,90.2
238,01/10/1934,93
239,01/11/1934,98.3
240,01/12/1934,101.8
241,01/01/1935,103.2
242,01/02/1935,103.7
243,01/03/1935,100
244,01/04/1935,105.45
245,01/05/1935,112.75
246,01/06/1935,115.25
247,01/07/1935,122.65
248,01/08/1935,126.95
249,01/09/1935,130.7
250,01/10/1935,134.8
251,01/11/1935,144.75
252,01/12/1935,141.7
253,01/01/1936,146.3
254,01/02/1936,152
255,01/03/1936,154.6
256,01/04/1936,152.85
257,01/05/1936,149.5
258,01/06/1936,155
259,01/07/1936,162.25
260,01/08/1936,164.95
261,01/09/1936,167.4
262,01/10/1936,172.95
263,01/11/1936,180.8
264,01/12/1936,179.05
265,01/01/1937,182.3
266,01/02/1937,188.4
267,01/03/1937,187.1
268,01/04/1937,177.65
269,01/05/1937,171.9
270,01/06/1937,170.3
